stop_id,avg_q,q_min,q_max
0,120.095138,0,242
1,116.540860,0,285
2,107.056840,0,257
3,107.452398,0,246
4,110.241713,0,251
5,108.905828,0,255
6,108.406027,0,252
7,113.128288,0,264
8,108.127089,0,264
9,112.922112,0,253
10,107.056556,0,254
11,111.863166,0,266
12,107.353573,0,261
13,108.028730,0,232
14,117.179597,0,254
